label,name
Beauty,Bobbi Brown Inc.
Beauty,Dior Beauty
Beauty,Derma Skincare Centre
Beauty,KIKO Asia Ltd.
Beauty,Vichy Laboratories
Beauty,Colourmix Cosmetics Company Limited
Beauty,Sa Sa Cosmetic Co. Ltd.
Beauty,"Clinique Laboratories, llc."
Beauty,"Shiseido Company, Limited"
Beauty,"Sephora USA, Inc."
Beauty,MAKE-UP ART COSMETICS.
Beauty,Clarins.
Beauty,L'Oreal SA
Beauty,Laura Mercier Cosmetics.
Beauty,"FANCL International, Inc."
Education,Memrise Inc.
Education,Coursera Inc.
Education,"Udacity, Inc."
Education,Code School LLC.
Education,edX Inc.
Education,Open Learning Global Pty Ltd.
Education,New Oriental Education & Tech Grp
Education,Chinese TAL Education Group
Education,"Tarena International, Inc."
Education,Chegg Inc
Education,"2U, Inc."
Education,McGraw-Hill Education
Education,Pearson plc
Education,China Distance Education Hldgs Ltd
Education,"Udemy, Inc."
Media,YouTube
Media,"Netflix, Inc. "
Media,Spotify AB
Media,Youku Tudou Inc.
Media,iQIYI.COM
Media,Xiami.com
Media,KKBOX
Media,QQ Music
Media,Home Box Office Inc.
Media,"Vudu, Inc. "
Media,DIRECTV
Media,"Redbox Automated Retail, LLC. "
Media,BB Liquidating Inc
Media,Le.com
Media,"Crackle, Inc."
Grocery,Marks and Spencer Group Plc
Grocery,Tesco PLC
Grocery,Wal-Mart Stores Inc
Grocery,Costco Wholesale Corporation
Grocery,Best Buy Co Inc
Grocery,Publix Super Markets
Grocery,Carrefour SA
Grocery,Rainbow Department Store Company Limited
Grocery,"The Dairy Farm Company, Limited"
Grocery,PARKnSHOP Supermarket HK.
Grocery,A.S. Watson Group (Hong Kong) Ltd.
Grocery,City Super Limited
Grocery,SOGO Limited.
Grocery,Mannings.
Grocery,AEON CO. LTD
Stationery,Rifle Paper Co.
Stationery,Staedtler Mars GmbH & Co. KG
Stationery,"KOKUYO Co.,Ltd."
Stationery,PILOT CORPORATION
Stationery,Schwan-STABILO Group
Stationery,Faber-Castell
Stationery,Liberty Stationery Corp. 
Stationery,Parker Pen Company
Stationery,Sakura Color Products Corporation
Stationery,Maped SAS
Stationery,Societe B I C SA
Stationery,The Ohio & Michigan Paper Company
Stationery,Hok Yee Stationery Company
Stationery,3M Company
Stationery,"Shenzhen Comix Stationery Co., Ltd."
Investment,"The PNC Financial Services Group, Inc."
Investment,Principal Financial Group Inc
Investment,RAIT Financial Trust
Investment,"Raymond James Financial, Inc."
Investment,Shinhan Financial Group Co Ltd
Investment,Stifel Financial Corporation
Investment,Sumitomo Mitsui Financial Group Inc
Investment,Sun Life Financial Inc.
Investment,Synovus Financial Corp.
Investment,TCF Financial Corporation
Investment,"Voya Financial, Inc."
Investment,"Waddell & Reed Financial, Inc."
Investment,Webster Financial Corporation
Investment,Yadkin Financial Corporation
Investment,ZAIS Financial Corp.
Dining,Subway
Dining,McDonald' s
Dining,KFC
Dining,Burger King
Dining,Pizza Hut
Dining,Maxim' s Catering
Dining,Domino' s Pizza
Dining,Pacific Coffee Company
Dining,Din Tai Fung
Dining,Ruby Tuesday
Dining,Sizzler
Dining,Yoshinoya
Dining,Wing Wah
Dining,Tim Ho Wan
Dining,Café de Coral
Transport,Mass Transit Railway (MTR)
Transport,The Kowloon Motor Bus Company Limited
Transport,Citybus Limited
Transport,Long Win Bus Company Limited
Transport,Uber
Transport,Hong Kong Airlines
Transport,Cathay Pacific Airways
Transport,Hong Kong Express Airways Limited
Transport,Hong Kong Dragon Airlines Ltd
Transport,The UrbanTaxi
Transport,"The 'Star' Ferry Company, Limited"
Transport,"Hong Kong Tramways, Limited"
Transport,Peak Tramways Company Limited
Transport,New World First Bus Services Limited
Transport,Air China Airlines
Entertainment,Broadway Cinematheque
Entertainment,UA Cinema Circuit Limited
Entertainment,Neway Karaoke Box Limited
Entertainment,Red MR Limited
Entertainment,Walt Disney Company
Entertainment,AMC Entertainment Inc
Entertainment,Nintendo
Entertainment,Xbox
Entertainment,LEGO
Entertainment,Ocean Park Hong Kong 
Entertainment,Ryze Ultimate Trampoline Park Hong Kong
Entertainment,Ball Room
Entertainment,Ikari Area
Entertainment,VR Arena
Entertainment,HA cube
Clothing,American Eagle Outfitters Inc
Clothing,Holister Co.
Clothing,Zara
Clothing,H&M Hennes & Mauritz AB
Clothing,GAP
Clothing,Levi Strauss & Co. 
Clothing,G2000
Clothing,Louis Vuitton
Clothing,Longchamp
Clothing,J. Crew
Clothing,Nike
Clothing,Adidas
Clothing,Converse
Clothing,Superdry
Clothing,Balenciaga
